scientificName,canonicalName,authorship,family,epithet,description
"Sundamys maxi (Sody, 1932)",Sundamys maxi,"(Sody, 1932) ",Muridae,maxi,a rodent that resembles very large
"Sundamys muelleri (Jentink, 1879)",Sundamys muelleri,"(Jentink, 1879) ",Muridae,muelleri,a rodent named after Mueller
"Peromyscus beckensis (Dalquest, 1978)",Peromyscus beckensis,"(Dalquest, 1978) ",Muridae,beckensis,a rodent from Beck
"Symmetrodontomys daamsi Martin et al., 2002",Symmetrodontomys daamsi,"Martin et al., 2002",Muridae,daamsi,a rodent named after Daams
"Symmetrodontomys simplicidens Hibbard, 1941",Symmetrodontomys simplicidens,"Hibbard, 1941",Muridae,simplicidens,a simple-toothed rodent
"Aralomys glikmani (Vorontzov, 1963)",Aralomys glikmani,"(Vorontzov, 1963) ",Muridae,glikmani,a rodent named after Glikman
"Tachyoryctoides bayarmae Daxner-Höck, Badamgarav & Maridet, 2015",Tachyoryctoides bayarmae,"Daxner-Höck, Badamgarav & Maridet, 2015",Muridae,bayarmae,a rodent named after Bayarma
"Tachyoryctoides engesseri Wang & Qiu, 2012",Tachyoryctoides engesseri,"Wang & Qiu, 2012",Muridae,engesseri,a rodent named after Engesser
"Tachyoryctoides intermedius Bohlin, 1937",Tachyoryctoides intermedius,"Bohlin, 1937",Muridae,intermedius,a rodent that resembles of intermediate form
"Tachyoryctoides obrutschewi Bohlin, 1937",Tachyoryctoides obrutschewi,"Bohlin, 1937",Muridae,obrutschewi,a rodent named after Obrutschew
"Tachyoryctoides pachygnatus Bohlin, 1937",Tachyoryctoides pachygnatus,"Bohlin, 1937",Muridae,pachygnatus,a thick-jawed rodent
"Tachyoryctoides padre Tyutkova, 2000",Tachyoryctoides padre,"Tyutkova, 2000",Muridae,padre,a rodent named after a father
"Tachyoryctoides radnai Daxner-Höck, Badamgarav & Maridet, 2015",Tachyoryctoides radnai,"Daxner-Höck, Badamgarav & Maridet, 2015",Muridae,radnai,a rodent named after Radna
"Tachyoryctoides tatalgolicus Dashzeveg, 1971",Tachyoryctoides tatalgolicus,"Dashzeveg, 1971",Muridae,tatalgolicus,a rodent from the Tatal Gol
"Taeromys arcuatus (Tate & Archbold, 1935)",Taeromys arcuatus,"(Tate & Archbold, 1935) ",Muridae,arcuatus,a curved or bow-shaped rodent
"Taeromys callitrichus (Jentink, 1879)",Taeromys callitrichus,"(Jentink, 1879) ",Muridae,callitrichus,a rodent that resembles with beautiful hair
"Taeromys celebensis (Gray, 1867)",Taeromys celebensis,"(Gray, 1867) ",Muridae,celebensis,a rodent from Celebes
"Taeromys hamatus (Miller & Hollister, 1921)",Taeromys hamatus,"(Miller & Hollister, 1921) ",Muridae,hamatus,a hooked rodent
"Taeromys microbullatus (Tate & Archbold, 1935)",Taeromys microbullatus,"(Tate & Archbold, 1935) ",Muridae,microbullatus,a rodent that resembles with small bubbles
"Taeromys punicans (Miller & Hollister, 1921)",Taeromys punicans,"(Miller & Hollister, 1921) ",Muridae,punicans,a rodent that resembles reddish-purple
"Taeromys taerae (Sody, 1932)",Taeromys taerae,"(Sody, 1932) ",Muridae,taerae,a rodent that resembles of the earth
"Tarsomys apoensis Mearns, 1905",Tarsomys apoensis,"Mearns, 1905",Muridae,apoensis,a rodent from Apo
"Tarsomys echinatus Musser & Heaney, 1992",Tarsomys echinatus,"Musser & Heaney, 1992",Muridae,echinatus,a rodent that resembles spiny or prickly
"Tateomys macrocercus Musser, 1982",Tateomys macrocercus,"Musser, 1982",Muridae,macrocercus,a long-tailed rodent
"Tateomys rhinogradoides Musser, 1969",Tateomys rhinogradoides,"Musser, 1969",Muridae,rhinogradoides,a rodent that resembles resembling a snout-walker
"Tatera indica (Hardwicke, 1807)",Tatera indica,"(Hardwicke, 1807) ",Muridae,indica,a rodent from India or the Indies
"Taterillus arenarius Robbins, 1974",Taterillus arenarius,"Robbins, 1974",Muridae,arenarius,a rodent that resembles of sandy places
"Taterillus congicus Thomas, 1915",Taterillus congicus,"Thomas, 1915",Muridae,congicus,a rodent from the Congo
"Taterillus emina (Thomas, 1892)",Taterillus emina,"(Thomas, 1892) ",Muridae,emina,"a rodent that resembles projecting, prominent"
"Taterillus emini (Thomas, 1892)",Taterillus emini,"(Thomas, 1892) ",Muridae,emini,a rodent named after Emin Pasha
"Taterillus gracilis (Thomas, 1892)",Taterillus gracilis,"(Thomas, 1892) ",Muridae,gracilis,a rodent that resembles slender or thin
"Taterillus gyas Thomas, 1918",Taterillus gyas,"Thomas, 1918",Muridae,gyas,a rodent that resembles giant
"Taterillus harringtoni (Thomas, 1906)",Taterillus harringtoni,"(Thomas, 1906) ",Muridae,harringtoni,a rodent named after Harrington
"Taterillus lacustris (Thomas & Wroughton, 1907)",Taterillus lacustris,"(Thomas & Wroughton, 1907) ",Muridae,lacustris,a rodent that resembles of or near lakes
"Taterillus petteri Sicard, Tranier & Gautun, 1988",Taterillus petteri,"Sicard, Tranier & Gautun, 1988",Muridae,petteri,a rodent named after Petter
"Taterillus pygargus (F.Cuvier, 1838)",Taterillus pygargus,"(F.Cuvier, 1838) ",Muridae,pygargus,a white-rumped rodent
"Taterillus tranieri Dobigny, Granjon, Aniskin, Ba & Volobouev, 2003",Taterillus tranieri,"Dobigny, Granjon, Aniskin, Ba & Volobouev, 2003",Muridae,tranieri,a rodent named after Tranier
"Taterillus zammaranoi De Beaux, 1922",Taterillus zammaranoi,"De Beaux, 1922",Muridae,zammaranoi,a rodent named after Zammarani
"Thallomys loringi (Heller, 1909)",Thallomys loringi,"(Heller, 1909) ",Muridae,loringi,a rodent named after Loring
"Thallomys nigricauda (Thomas, 1882)",Thallomys nigricauda,"(Thomas, 1882) ",Muridae,nigricauda,a black-tailed rodent
"Thallomys paedulcus (Sundevall, 1846)",Thallomys paedulcus,"(Sundevall, 1846) ",Muridae,paedulcus,a rodent that resembles sweet-smelling
"Thallomys shortridgei Thomas & Hinton, 1923",Thallomys shortridgei,"Thomas & Hinton, 1923",Muridae,shortridgei,a rodent named after Shortridge
"Thamnomys kempi Dollman, 1911",Thamnomys kempi,"Dollman, 1911",Muridae,kempi,a rodent named after Kemp
"Thamnomys major Hatt, 1934",Thamnomys major,"Hatt, 1934",Muridae,major,a rodent that resembles larger or greater
"Thamnomys schoutedeni Hatt, 1934",Thamnomys schoutedeni,"Hatt, 1934",Muridae,schoutedeni,a rodent named after Schouteden
"Thamnomys venustus Thomas, 1907",Thamnomys venustus,"Thomas, 1907",Muridae,venustus,a rodent that resembles beautiful or charming
"Tokudaia muenninki (Johnson, 1946)",Tokudaia muenninki,"(Johnson, 1946) ",Muridae,muenninki,a rodent named after Muennink
"Tokudaia osimensis (Abe, 1933)",Tokudaia osimensis,"(Abe, 1933) ",Muridae,osimensis,a rodent from the Oshima region
"Tokudaia tokunoshimensis Endo & Tsuchiya, 2006",Tokudaia tokunoshimensis,"Endo & Tsuchiya, 2006",Muridae,tokunoshimensis,a rodent from Tokunoshima Island
"Tokudaia tokunoshimensis Kuroda, 1943",Tokudaia tokunoshimensis,"Kuroda, 1943",Muridae,tokunoshimensis,a rodent from Tokunoshima Island
"Tonkinomys daovantieni Musser, Lunde & Nguyen Truong Son, 2006",Tonkinomys daovantieni,"Musser, Lunde & Nguyen Truong Son, 2006",Muridae,daovantieni,a rodent named after Đào Văn Tiến
"Trakymys saratji Unay-Bayraktar, 1989",Trakymys saratji,"Unay-Bayraktar, 1989",Muridae,saratji,a rodent named after Sarat
"Trilophomys canterranensis Michaux, 1976",Trilophomys canterranensis,"Michaux, 1976",Muridae,canterranensis,a rodent from the Canary Islands
"Trilophomys depereti Fejfar, 1961",Trilophomys depereti,"Fejfar, 1961",Muridae,depereti,a rodent named after Deperet
"Trilophomys pyrenaicus Depéret, 1890",Trilophomys pyrenaicus,"Depéret, 1890",Muridae,pyrenaicus,a rodent from the Pyrenees
"Trilophomys schaubi Fejfar, 1961",Trilophomys schaubi,"Fejfar, 1961",Muridae,schaubi,a rodent named after Schaub
"Tryphomys adustus Miller, 1910",Tryphomys adustus,"Miller, 1910",Muridae,adustus,a burnt or scorched rodent
"Uranomys ruddi Dollman, 1909",Uranomys ruddi,"Dollman, 1909",Muridae,ruddi,a rodent named after Rudd
"Uromys anak Thomas, 1907",Uromys anak,"Thomas, 1907",Muridae,anak,a giant-like rodent
"Uromys aplini Cramb, Hocknull & Price, 2020",Uromys aplini,"Cramb, Hocknull & Price, 2020",Muridae,aplini,a rodent named after Aplin
"Uromys boeadii Groves & Flannery, 1994",Uromys boeadii,"Groves & Flannery, 1994",Muridae,boeadii,a rodent named after Boeadi
"Uromys caudimaculatus (Krefft, 1867)",Uromys caudimaculatus,"(Krefft, 1867) ",Muridae,caudimaculatus,a rodent that resembles with a spotted tail
"Uromys emmae Groves & Flannery, 1994",Uromys emmae,"Groves & Flannery, 1994",Muridae,emmae,a rodent named after Emma
"Uromys hadrourus (Winter, 1984)",Uromys hadrourus,"(Winter, 1984) ",Muridae,hadrourus,a thick-tailed rodent
"Uromys imperator (Thomas, 1888)",Uromys imperator,"(Thomas, 1888) ",Muridae,imperator,a emperor-like rodent
"Uromys neobritannicus Tate & Archbold, 1935",Uromys neobritannicus,"Tate & Archbold, 1935",Muridae,neobritannicus,a rodent from New Britain
"Uromys porculus Thomas, 1904",Uromys porculus,"Thomas, 1904",Muridae,porculus,a rodent that resembles little pig
"Uromys rex (Thomas, 1888)",Uromys rex,"(Thomas, 1888) ",Muridae,rex,a rodent that resembles king or royal
"Uromys siebersi Thomas, 1923",Uromys siebersi,"Thomas, 1923",Muridae,siebersi,a rodent named after Siebers
"Uromys vika Lavery & Judge, 2017",Uromys vika,"Lavery & Judge, 2017",Muridae,vika,a rodent named after a fictional character
"Vandeleuria nilagirica (Jerdon, 1867)",Vandeleuria nilagirica,"(Jerdon, 1867) ",Muridae,nilagirica,a rodent from the Nilgiri Hills
"Vandeleuria nolthenii Phillips, 1929",Vandeleuria nolthenii,"Phillips, 1929",Muridae,nolthenii,a rodent named after Nolthen
"Vandeleuria oleracea (Bennett, 1832)",Vandeleuria oleracea,"(Bennett, 1832) ",Muridae,oleracea,a rodent that resembles of or relating to vegetables
"Vernaya fulva (G.M.Allen, 1927)",Vernaya fulva,"(G.M.Allen, 1927) ",Muridae,fulva,a rodent that resembles tawny or reddish-yellow
"Vetusspalax progressus de Bruijn et al., 2013",Vetusspalax progressus,"de Bruijn et al., 2013",Muridae,progressus,a rodent that resembles advancing or developing
"Villanyia exilis Kretzoi, 1956",Villanyia exilis,"Kretzoi, 1956",Muridae,exilis,a rodent that resembles slender or small
"Waiomys mamasae Rowe, Achmadi & Esselstyn, 2014",Waiomys mamasae,"Rowe, Achmadi & Esselstyn, 2014",Muridae,mamasae,a rodent named after M. M. Mamas
"Eumys planidens (Wilson, 1949)",Eumys planidens,"(Wilson, 1949) ",Muridae,planidens,a flat-toothed rodent
"Wilsoneumys focarius Korth, 2019",Wilsoneumys focarius,"Korth, 2019",Muridae,focarius,a rodent that resembles of the hearth
"Xenuromys barbatus (Milne-Edwards, 1900)",Xenuromys barbatus,"(Milne-Edwards, 1900) ",Muridae,barbatus,a bearded rodent
"Xeromys myoides Thomas, 1889",Xeromys myoides,"Thomas, 1889",Muridae,myoides,a rodent that resembles resembling a mouse
"Yatkolamys edwardsi Martin & Corner, 1980",Yatkolamys edwardsi,"Martin & Corner, 1980",Muridae,edwardsi,a rodent named after Edwards
"Yunomys wui Qiu & Storch, 1990",Yunomys wui,"Qiu & Storch, 1990",Muridae,wui,a rodent named after Wu
"Zelotomys hildegardeae (Thomas, 1902)",Zelotomys hildegardeae,"(Thomas, 1902) ",Muridae,hildegardeae,a rodent named after Hildegarde
"Zelotomys woosnami (Schwann, 1906)",Zelotomys woosnami,"(Schwann, 1906) ",Muridae,woosnami,a rodent named after C. W. Woosnam
"Zyzomys argurus (Thomas, 1889)",Zyzomys argurus,"(Thomas, 1889) ",Muridae,argurus,a rodent that resembles silvery white
"Zyzomys maini Kitchener, 1989",Zyzomys maini,"Kitchener, 1989",Muridae,maini,a rodent named after Main
"Zyzomys palatalis Kitchener, 1989",Zyzomys palatalis,"Kitchener, 1989",Muridae,palatalis,a rodent that resembles of the palate
"Zyzomys palatilis Kitchener, 1989",Zyzomys palatilis,"Kitchener, 1989",Muridae,palatilis,a rodent that resembles of the palace
"Zyzomys pedunculatus (Waite, 1896)",Zyzomys pedunculatus,"(Waite, 1896) ",Muridae,pedunculatus,a rodent that resembles having a stalk
"Zyzomys woodwardi (Thomas, 1909)",Zyzomys woodwardi,"(Thomas, 1909) ",Muridae,woodwardi,a rodent named after Woodward
"Aeretes melanoplerus (Milne-Edwards, 1867)",Aeretes melanoplerus,"(Milne-Edwards, 1867) ",Sciuridae,melanoplerus,a black-winged squirrel
"Aeretes melanopterus (Milne-Edwards, 1867)",Aeretes melanopterus,"(Milne-Edwards, 1867) ",Sciuridae,melanopterus,a black-winged squirrel
"Aeromys tephromelas (Günther, 1873)",Aeromys tephromelas,"(Günther, 1873) ",Sciuridae,tephromelas,a squirrel that resembles ashy black
"Aeromys thomasi (Hose, 1900)",Aeromys thomasi,"(Hose, 1900) ",Sciuridae,thomasi,a squirrel named after Thomas
"Albanensia grimmi Black, 1966",Albanensia grimmi,"Black, 1966",Sciuridae,grimmi,a squirrel named after Grimm
"Albanensia sansaniensis Lartet, 1851",Albanensia sansaniensis,"Lartet, 1851",Sciuridae,sansaniensis,a squirrel from Sansan
"Sciuropterus albanensis (Major, 1893)",Sciuropterus albanensis,"(Major, 1893) ",Sciuridae,albanensis,a squirrel from or of Albania
"Aliveria brinkerinki de Bruijn et al., 1980",Aliveria brinkerinki,"de Bruijn et al., 1980",Sciuridae,brinkerinki,a squirrel named after Brinkerink
"Aliveria luteyni de Bruijn et al., 1980",Aliveria luteyni,"de Bruijn et al., 1980",Sciuridae,luteyni,a squirrel named after Luteyn
"Ammospermophilus fossilis James, 1963",Ammospermophilus fossilis,"James, 1963",Sciuridae,fossilis,a fossilized squirrel
"Ammospermophilus hanfordi Gustafson, 1978",Ammospermophilus hanfordi,"Gustafson, 1978",Sciuridae,hanfordi,a squirrel named after Hanford
"Ammospermophilus harrisii (Audubon & Bachman, 1854)",Ammospermophilus harrisii,"(Audubon & Bachman, 1854) ",Sciuridae,harrisii,a squirrel named after Harris
"Ammospermophilus insularis Nelson & Goldman, 1909",Ammospermophilus insularis,"Nelson & Goldman, 1909",Sciuridae,insularis,a squirrel that resembles of or from islands
"Ammospermophilus interpres (Merriam, 1890)",Ammospermophilus interpres,"(Merriam, 1890) ",Sciuridae,interpres,a squirrel that resembles intermediate form
"Ammospermophilus jeffriesi Miller, 1980",Ammospermophilus jeffriesi,"Miller, 1980",Sciuridae,jeffriesi,a squirrel named after Jeffries
"Ammospermophilus leucurus (Merriam, 1889)",Ammospermophilus leucurus,"(Merriam, 1889) ",Sciuridae,leucurus,a white-tailed squirrel
"Ammospermophilus nelsoni (Merriam, 1893)",Ammospermophilus nelsoni,"(Merriam, 1893) ",Sciuridae,nelsoni,a squirrel named after Nelson
"Citellus junturensis (Shotwell & Russell, 1963)",Citellus junturensis,"(Shotwell & Russell, 1963) ",Sciuridae,junturensis,a squirrel from Juncture
"Arctomyoides oregonensis (Downs, 1956)",Arctomyoides oregonensis,"(Downs, 1956) ",Sciuridae,oregonensis,a squirrel from Oregon
"Sciurus arctomyoides (Douglass, 1903)",Sciurus arctomyoides,"(Douglass, 1903) ",Sciuridae,arctomyoides,a squirrel that resembles resembling a bear
"Atlantoxerus getulus (Linnaeus, 1758)",Atlantoxerus getulus,"(Linnaeus, 1758) ",Sciuridae,getulus,a squirrel from the Getulia region
"Atlantoxerus rhodius de Bruijn et al., 1970",Atlantoxerus rhodius,"de Bruijn et al., 1970",Sciuridae,rhodius,a squirrel from Rhodes
"Getuloxerus adroveri de Bruijn & Mein, 1968",Getuloxerus adroveri,"de Bruijn & Mein, 1968",Sciuridae,adroveri,a squirrel named after Adrover
"Getuloxerus blacki (de Bruijn, 1967)",Getuloxerus blacki,"(de Bruijn, 1967) ",Sciuridae,blacki,a squirrel named after Black
"Belomys pearsonii (Gray, 1842)",Belomys pearsonii,"(Gray, 1842) ",Sciuridae,pearsonii,a squirrel named after Pearson
"Belomys trichotis Thomas, 1908",Belomys trichotis,"Thomas, 1908",Sciuridae,trichotis,a squirrel that resembles with hairy ears
"Biswamoyopterus biswasi Saha, 1981",Biswamoyopterus biswasi,"Saha, 1981",Sciuridae,biswasi,a squirrel named after Biswas
"Biswamoyopterus gaoligongensis Li, Li, Jackson, Li, Jiang, Zhao, Song & Jiang, 2019",Biswamoyopterus gaoligongensis,"Li, Li, Jackson, Li, Jiang, Zhao, Song & Jiang, 2019",Sciuridae,gaoligongensis,a squirrel from the Gaoligong Mountains
"Biswamoyopterus laoensis Sanamxay, Douangboubpha, Bumrungsri, Xayavong, Xayaphet, Satasook & Bates, 2013",Biswamoyopterus laoensis,"Sanamxay, Douangboubpha, Bumrungsri, Xayavong, Xayaphet, Satasook & Bates, 2013",Sciuridae,laoensis,a squirrel from Laos
"Blackia ulmensis Werner, 1994",Blackia ulmensis,"Werner, 1994",Sciuridae,ulmensis,a squirrel from or pertaining to elms
"Callosciurus adamsi (Kloss, 1921)",Callosciurus adamsi,"(Kloss, 1921) ",Sciuridae,adamsi,a squirrel named after Adams
"Callosciurus baluensis (Bonhote, 1901)",Callosciurus baluensis,"(Bonhote, 1901) ",Sciuridae,baluensis,a squirrel from Balu
"Callosciurus baluenss (Bonhote, 1901)",Callosciurus baluenss,"(Bonhote, 1901) ",Sciuridae,baluenss,a squirrel that resembles hairy or woolly
"Callosciurus caniceps (Gray, 1842)",Callosciurus caniceps,"(Gray, 1842) ",Sciuridae,caniceps,a gray-headed squirrel
"Callosciurus erythraeus (Pallas, 1779)",Callosciurus erythraeus,"(Pallas, 1779) ",Sciuridae,erythraeus,a squirrel that resembles red or reddish
"Callosciurus finlaysonii (Horsfield, 1823)",Callosciurus finlaysonii,"(Horsfield, 1823) ",Sciuridae,finlaysonii,a squirrel named after George Finlayson
"Callosciurus flavimanus (I.Geoffroy, 1831)",Callosciurus flavimanus,"(I.Geoffroy, 1831) ",Sciuridae,flavimanus,a yellow-handed squirrel
"Callosciurus honkhoaiensis Nguyen, Oshida, Dang, Bui & Motokawa, 2018",Callosciurus honkhoaiensis,"Nguyen, Oshida, Dang, Bui & Motokawa, 2018",Sciuridae,honkhoaiensis,a squirrel from Hon Khoai Island
"Callosciurus inornatus (Gray, 1867)",Callosciurus inornatus,"(Gray, 1867) ",Sciuridae,inornatus,a squirrel that resembles without decoration
"Callosciurus melanogaster (Thomas, 1895)",Callosciurus melanogaster,"(Thomas, 1895) ",Sciuridae,melanogaster,a black-bellied squirrel
"Callosciurus nigrovittatus (Horsfield, 1823)",Callosciurus nigrovittatus,"(Horsfield, 1823) ",Sciuridae,nigrovittatus,a black-striped squirrel
"Callosciurus notatus (Boddaert, 1785)",Callosciurus notatus,"(Boddaert, 1785) ",Sciuridae,notatus,a marked or spotted squirrel
"Callosciurus orestes (Thomas, 1895)",Callosciurus orestes,"(Thomas, 1895) ",Sciuridae,orestes,a squirrel that resembles mountain-dwelling
"Callosciurus phayrei (Blyth, 1856)",Callosciurus phayrei,"(Blyth, 1856) ",Sciuridae,phayrei,a squirrel named after Phayre
"Callosciurus prevostii (Desmarest, 1822)",Callosciurus prevostii,"(Desmarest, 1822) ",Sciuridae,prevostii,a squirrel named after Prévost
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",Callosciurus pygerythrus,"(I.Geoffroy Saint-Hilaire, 1833) ",Sciuridae,pygerythrus,a squirrel that resembles reddish rump
"Callosciurus quinquestriatus (Anderson, 1871)",Callosciurus quinquestriatus,"(Anderson, 1871) ",Sciuridae,quinquestriatus,a five-striped squirrel
"Sciurus macclellandi (Horsfield, 1840)",Sciurus macclellandi,"(Horsfield, 1840) ",Sciuridae,macclellandi,a squirrel named after McClelland
"Sciurus pygerythrus (Geoffroy, 1831)",Sciurus pygerythrus,"(Geoffroy, 1831) ",Sciuridae,pygerythrus,a squirrel that resembles reddish rump
"Callospermophilus lateralis (Say, 1823)",Callospermophilus lateralis,"(Say, 1823) ",Sciuridae,lateralis,a squirrel that resembles on the side
